"filename", "language", "CSS", "JSON", "TypeScript", "TypeScript React", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\publications.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\share-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\times-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\two-opposite-up-and-down-arrows-side-by-side.svg", "XML", 0, 0, 0, 0, 0, 0, 46, 1, 1, 48
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\user-plus.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\user-solid.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\public\media\icons\wifi.svg", "XML", 0, 0, 0, 0, 0, 0, 50, 1, 1, 52
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\actions\actionTypes\commentsActions.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\actions\actionTypes\commentsTypes.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\actions\actionTypes\photosActions.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\actions\actionTypes\photosTypes.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\actions\actionTypes\postsActions.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\actions\actionTypes\postsTypes.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\actions\actionTypes\userTypes.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 2, 2, 14
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\actions\actionTypes\usersActions.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 2, 1, 19
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Common\Icon.tsx", "TypeScript React", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Common\Line.tsx", "TypeScript React", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Common\RoundAvatar.tsx", "TypeScript React", 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Entities\Entities.tsx", "TypeScript React", 0, 0, 0, 197, 0, 0, 0, 0, 32, 229
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Entities\EntitiesFilter.tsx", "TypeScript React", 0, 0, 0, 98, 0, 0, 0, 0, 7, 105
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Entities\EntityElement.tsx", "TypeScript React", 0, 0, 0, 40, 0, 0, 0, 0, 13, 53
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Entities\entities.css", "CSS", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Headers\HomeDropdown.tsx", "TypeScript React", 0, 0, 0, 172, 0, 0, 0, 0, 12, 184
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Headers\TopMenu.tsx", "TypeScript React", 0, 0, 0, 123, 0, 0, 0, 0, 22, 145
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\MainPage\LatestPublications.tsx", "TypeScript React", 0, 0, 0, 118, 0, 0, 0, 2, 9, 129
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\MainPage\MainPage.tsx", "TypeScript React", 0, 0, 0, 108, 0, 0, 0, 1, 14, 123
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\MainPage\ResumeYourWork\Comment.tsx", "TypeScript React", 0, 0, 0, 139, 0, 0, 0, 0, 16, 155
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\MainPage\ResumeYourWork\ResumeYourWork.tsx", "TypeScript React", 0, 0, 0, 131, 0, 0, 0, 0, 30, 161
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\MainPage\WorkspacesSlider.tsx", "TypeScript React", 0, 0, 0, 223, 0, 0, 0, 0, 16, 239
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Profile\Fees.tsx", "TypeScript React", 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Profile\InternalReviews.tsx", "TypeScript React", 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"c:\Users\Lenovo\source\repos\Professional-Social-WebPage-with--React\social-webpage\src\components\Profile\LeftProfile.tsx", "TypeScript React", 0, 0, 0, 108, 0, 0, 0, 0, 10, 118
